node_id,x,y,z,sigma_xx,sigma_yy,sigma_zz,tau_xy,tau_yz,tau_zx,ux,uy,uz,von_mises
0,4.723788013858762,0.0,0.0,-1667596.3907865204,-473319.55287105084,-925451.037311254,483266.2896577638,445964.93429214275,630971.9366458145,-2.851325657438107e-06,2.4714637035267106e-07,-3.0543084877640742e-06,1892728.1177605095
1,5.248653348731958,0.0,0.0,1954552.5407413938,3040532.431399567,4635310.531806722,1674249.1961507932,432366.49597801536,-902309.5186984247,-4.711915766669223e-06,2.78536473615387e-06,-7.17765701470683e-06,4106970.578799586
2,5.248653348731958,1.2717807025190118,0.0,1151317.7960200869,714915.1321827117,906014.3152098921,-163454.6900269986,76519.8530484921,-356924.48802049895,2.2713561836088824e-06,1.6819409637971831e-06,1.9766711098657606e-06,789603.3380635154
3,5.248653348731958,1.2717807025190118,0.5953014101128489,-332663.97333762835,-761093.366615002,-983948.6796313568,3787.0634137537854,77652.45051300911,162159.27278002046,2.8399413586143547e-06,6.113985610468836e-07,2.0774038400989146e-06,652467.33720044
4,5.248653348731958,0.0,0.5953014101128489,-2413909.6536844745,-2136482.2181748874,-909028.9362239548,306699.0583326077,179550.98954618085,-181158.8064172899,8.018929333412687e-07,7.256077752838129e-07,-3.7308360862281066e-06,1549677.6786415908
5,4.723788013858762,1.2717807025190118,0.0,1658944.3708923885,780872.9119378785,1516905.8477579844,-7504.581300390849,-753072.4969913585,186930.5459967362,1.4315638601334773e-06,3.4221113417644847e-06,7.209134136985485e-07,1572519.3341654434
6,5.248653348731958,2.5435614050380235,0.0,144301.68741986607,-700807.9104493599,-928673.2064557736,-185631.6877514245,-6448.097987604809,30056.8057014691,1.0954156840404918e-06,-2.5841029446604448e-06,-1.6082486165200269e-06,1031947.8248987861
7,5.248653348731958,2.5435614050380235,0.5953014101128489,243276.94426144075,-44887.78291315988,595451.0352800979,-636428.085007251,-281021.50218438654,350270.5464544537,-1.1233438418332422e-06,-2.9071814287895366e-06,-1.5119211536455664e-06,1458992.5957993022
8,4.723788013858762,0.0,0.5953014101128489,-324405.8101896719,-366365.6876729936,-169952.59159462005,2323.1184245616155,431018.28514753404,-170548.9874476273,9.62522907477109e-07,4.516686115379159e-07,-2.8216879108672927e-06,822620.5775279261
9,4.723788013858762,1.2717807025190118,0.5953014101128489,-373620.88812008634,-756171.4115457025,-657472.8532401758,57582.143250231486,-190884.21510962443,-154751.59255265002,2.0241780191677155e-06,8.553013160144042e-07,8.005733904853076e-07,556264.9996488511
10,4.723788013858762,2.5435614050380235,0.0,-1420089.3274268797,-1191610.2169018136,-998193.705580941,-176308.79289012135,398691.44013807125,-635727.9190887018,4.829395345411863e-07,-2.609342823658612e-06,-3.583037107903868e-06,1384331.3220689234
11,5.248653348731958,3.8153421075570355,0.0,8128432.657145668,8995715.778486555,7643866.818447045,-269733.3791292213,1090155.7233894176,552110.9446779607,-1.143349445432018e-06,-5.311956054511155e-07,2.7821141898101537e-06,2470891.765040162
12,5.248653348731958,3.8153421075570355,0.5953014101128489,619860.7868693582,1237356.6018845271,-71894.82990418968,499414.3634264353,357811.25873740047,298003.96662793215,-1.9293504819747756e-06,2.233347777967482e-06,0.0,1638820.6172352943
13,5.248653348731958,1.2717807025190118,1.1906028202256977,8180.192859351771,-291835.95752035774,-785456.0358370229,-216430.0812081249,4258.676404117704,-285612.95787436154,-5.960604764127612e-07,-4.0189142252978213e-07,5.631421609679506e-07,931165.4536651071
14,4.198922678985566,0.0,0.0,-2382318.052537684,-1451659.6720666608,-1546438.9908200789,346833.25677267485,170755.0233630617,59450.27576358469,-9.20000838092396e-07,2.554615047563734e-07,-1.58516578533622e-06,1116179.0792690862
15,4.723788013858762,2.5435614050380235,0.5953014101128489,-618289.3510386043,-307143.28026667755,361826.95263117034,-305221.2843916408,105240.60203637606,-159705.84903314593,-3.8227436889655876e-07,-1.7735985556585247e-06,-2.1539180696608814e-06,1068506.0758947209
16,4.723788013858762,3.8153421075570355,0.0,-59157.61100256319,-423920.49432224134,-934761.2772491929,340811.86690131604,204115.71275778866,-394760.1743031946,0.0,-2.159269503633125e-07,9.9499526624292e-07,1233410.1781405204
17,5.248653348731958,5.087122810076047,0.0,5418942.900553959,6729768.136682544,6144070.895704418,-262289.8366313349,-369810.92781142425,719278.5752775872,2.681280650661282e-06,3.3893493991918994e-07,1.4550204779934124e-06,1860728.5084886833
18,5.248653348731958,5.087122810076047,0.5953014101128489,-774320.4138372305,-1275373.9867658373,-775531.185105141,577232.680678026,-446892.0200671892,-65878.45941870844,1.1539278860007143e-06,4.813864843839888e-07,1.4425707859792848e-06,1364624.3210552004
19,5.248653348731958,0.0,1.1906028202256977,-1600848.6622540262,-1929021.6190048857,-1333942.7102455224,-311848.0513186141,-238895.83354046848,950858.7715140969,1.7414127697190389e-06,3.5502127801605317e-07,0.0,1855232.082916779
20,5.248653348731958,2.5435614050380235,1.1906028202256977,1387713.5196946566,2092058.469272546,2698461.8711954714,-88259.30088821995,85776.32416327542,53009.32527287441,-2.2495276378656634e-06,0.0,0.0,1159661.9675790088
21,4.198922678985566,1.2717807025190118,0.0,1962952.9073519849,1457999.0662854502,1554690.2455943262,406517.75766209094,-494942.83486556937,-86497.3429395083,6.676612134411427e-07,1.5328692165537405e-06,1.3003947070349512e-06,1211867.8333958888
22,4.723788013858762,3.8153421075570355,0.5953014101128489,-524626.2604629756,-630405.4978964768,-912290.6176896908,-64964.8600607131,215086.32312386655,155907.93670992114,-2.4588262139606486e-06,-3.0656336645174464e-07,1.6189240899098784e-07,587227.0373107973
23,4.723788013858762,5.087122810076047,0.0,-315971.2538908505,-744615.0048460152,-1333806.111207083,-547795.3378581291,-366721.492289001,-362565.1534723805,3.7995757770603046e-06,6.769675913299215e-07,0.0,1575274.0516185104
24,5.248653348731958,6.358903512595059,0.0,15672346.885938812,15707617.586479707,12880272.02628679,-243316.73668503104,209608.01401617442,1577853.9738649505,-5.5495130797567906e-06,0.0,0.0,3959001.0900070323
25,5.248653348731958,6.358903512595059,0.5953014101128489,3891667.15056515,4316209.239314766,4211354.7164695095,-227264.8555358577,-43039.521535411885,-296453.5308433175,-1.2828993004203973e-06,5.3686488542527645e-08,-6.1147884087906195e-06,755562.3936598665
26,4.723788013858762,0.0,1.1906028202256977,-180672.89534646706,-365352.6819806716,132762.74851291717,-284712.7347338207,76753.28240850789,169222.06271774886,1.4639945073488467e-06,4.800826137296341e-07,-2.452016853911631e-06,732802.358645174
27,4.723788013858762,1.2717807025190118,1.1906028202256977,1280729.6423063409,1518727.5882678593,1250355.195790042,39170.457251037005,-78758.08251074869,-250053.8111986299,-8.360939293181256e-07,0.0,4.6214294328289864e-07,524963.7049307565
28,4.198922678985566,0.0,0.5953014101128489,-887807.4620990988,-1173351.0685631563,-1054432.87785387,78865.75414041216,237162.87111308027,-381076.69553365745,6.824708288052795e-07,0.0,0.0,827512.4202654136
29,4.198922678985566,1.2717807025190118,0.5953014101128489,-904405.4178111681,-1308118.2652560407,-1435739.3492264014,29128.904491779995,-64759.72326981941,-33933.47893077373,1.0068859483831703e-06,-9.152393292073463e-08,6.628874576811054e-07,499374.4716654553
30,5.248653348731958,3.8153421075570355,1.1906028202256977,-2878226.7254839023,-2947825.9519635807,-3046758.4463452934,470311.29656399484,26883.779367795694,-73667.42176665607,1.377101219429404e-06,8.383484918357657e-07,-1.5260742619808214e-06,838775.5019964969
31,4.198922678985566,2.5435614050380235,0.0,-1614982.9183917479,-1660357.5907755797,-1452671.4317867716,-720943.0202550264,29182.812639372107,-623335.8952827114,1.153746049573866e-06,0.0,-4.1462513092130065e-07,1662300.5294393492
32,4.723788013858762,5.087122810076047,0.5953014101128489,-1293612.5518039323,-1383174.7488437109,-1404153.0311759561,103551.38835117049,-88128.87285147028,-337075.05592235795,0.0,0.0,0.0,637705.167987338
33,4.723788013858762,6.358903512595059,0.0,6732162.155522421,7770366.773698638,7261580.4915962,-158195.85131593974,209496.85709539396,1214146.6071037494,-4.689957734963361e-06,0.0,-1.396862988527615e-06,2331889.4859016147
34,5.248653348731958,7.630684215114071,0.0,-4515388.809994628,-4316451.311588094,-3195373.5172747364,324017.0239865335,-411493.7185192784,182481.46301203294,1.8201303860827782e-07,0.0,0.0,1562772.1365462532
35,5.248653348731958,7.630684215114071,0.5953014101128489,-933274.0525105435,-1053517.3013021087,-962602.5975931485,260258.70071105924,228166.1070072173,-72254.24848013071,6.578949099088627e-07,-9.546560725355243e-07,1.482491842989851e-06,621962.3487091069
36,5.248653348731958,1.2717807025190118,1.7859042303385466,1964499.7206393718,2471053.7392417598,2560223.8844694356,-25426.49513115564,-76266.0976409903,231594.94768127077,-1.275338991307227e-06,-1.1505487634065335e-06,-4.928503660005822e-07,700011.08295025
37,4.723788013858762,2.5435614050380235,1.1906028202256977,-1000773.4166060111,-517147.30340272986,138500.93378459095,-26998.700223435633,42710.5417139576,-136808.92555321584,0.0,0.0,0.0,1022089.4499862923
38,3.67405734411237,0.0,0.0,11634.323042530696,49340.675380074186,198126.92170053528,53521.35073129517,-54056.21666629903,100916.57004222722,-2.876227912111888e-07,0.0,1.577297636507241e-08,277635.7212029236
39,4.198922678985566,2.5435614050380235,0.5953014101128489,-465793.76716218237,-550722.2281400458,-451555.1187524109,-245644.9765130355,49510.37315971684,-77606.68283126908,5.852755236865167e-07,0.0,0.0,463757.9491051171
40,5.248653348731958,5.087122810076047,1.1906028202256977,2060891.4718370636,1825770.6382650249,1381440.8126552643,-180755.33158775695,99102.47774284646,383852.17727223976,1.7643911839308254e-07,4.498490756159349e-07,7.757660665822779e-07,962647.8350106684
41,4.198922678985566,3.8153421075570355,0.0,-1412342.103759567,-1209036.8608330132,-1226668.6714828575,109724.60443151784,1528.2886901649144,-98592.38333221062,-2.660686256641773e-06,0.0,-9.105637696128022e-07,321474.8988740999
42,4.723788013858762,6.358903512595059,0.5953014101128489,1030287.9912694006,988386.0635600619,1055530.9594847038,-67077.87989435445,89614.36958289886,-186332.0749011795,0.0,0.0,-2.131904592302793e-06,381051.39555042447
43,4.723788013858762,7.630684215114071,0.0,-3066804.9305576533,-3448576.4814523016,-3164596.8927044594,142698.599837095,-259780.3584844657,71632.8177247516,0.0,1.2606151654910152e-06,0.0,630014.7242359718
44,5.248653348731958,8.902464917633083,0.0,12976683.836977735,13357448.114101307,12538070.404864129,-689745.3812278399,636274.2586696268,1667618.5379055091,0.0,-2.520887372334462e-06,-1.2910963132855605e-06,3389543.7948770965
45,5.248653348731958,8.902464917633083,0.5953014101128489,-6394581.0319980625,-7967349.645419702,-7341640.364408713,-421914.9743940326,-208014.81701127472,-726214.5349621058,4.241652167173192e-06,-1.228551960347387e-06,-2.1906340509510663e-06,2031508.596811726
46,5.248653348731958,0.0,1.7859042303385466,-3926828.8295000363,-4473784.49597464,-4052024.5451716697,-524565.125731456,-214393.3586518824,184012.25089062046,3.096785625687345e-06,-3.830628015955154e-07,0.0,1145136.9951856607
47,5.248653348731958,2.5435614050380235,1.7859042303385466,-829151.8435325172,-643223.8466340314,-863344.4095380399,57118.94015183532,12222.570720717256,86417.78051571989,0.0,0.0,8.482071946772848e-07,273378.3073910886
48,3.67405734411237,1.2717807025190118,0.0,-944641.141686711,-1117813.7527934837,-1296943.4685370477,239990.40973783867,-39390.68838965608,249483.21857008094,0.0,-4.3321466395934245e-07,0.0,676212.4423878453
49,4.723788013858762,3.8153421075570355,1.1906028202256977,-818015.5303995418,-949177.067595409,-1203621.1369786733,-10648.329594383264,-9262.935032379262,254216.07500359885,5.247115336002743e-07,0.0,0.0,556590.8852927609
50,4.198922678985566,3.8153421075570355,0.5953014101128489,1595632.3111655763,2377290.8044935823,2464569.4522172525,91851.7246618309,-165327.6255461144,312678.56146358437,-1.9930189940226195e-06,0.0,-3.346213706296981e-07,1042805.4451779044
51,5.248653348731958,6.358903512595059,1.1906028202256977,-3616478.949830713,-3663803.6165782656,-2559797.66465934,-232860.51376681752,20371.91048911138,121417.97264165254,0.0,-3.472747197135741e-08,-2.987168390316094e-06,1173441.9991037892
52,4.198922678985566,5.087122810076047,0.0,-1149101.6650303027,-1753225.7015970354,-1569780.246550967,101499.57921312495,-671432.4932644356,-118678.70838823526,1.8963239044124174e-06,2.035494729892368e-06,8.912309440583682e-07,1308976.4925283429
53,4.723788013858762,7.630684215114071,0.5953014101128489,-94198.7392109267,44036.02511214667,-104816.80886013471,134082.8074461075,-18402.58705811137,263047.6336409247,0.0,0.0,8.976138753608993e-07,532186.1665878865
54,4.723788013858762,8.902464917633083,0.0,-2354860.55409686,-3474757.5665960195,-2971179.5405595945,-174693.87139233216,352518.5248038114,-48190.02913848622,0.0,-2.89125777986844e-07,0.0,1189593.726367814
55,4.723788013858762,0.0,1.7859042303385466,-758033.5945994719,-1385757.2510358994,-558364.456329611,-159306.56252612252,-67379.44548406404,-244473.42778847087,2.42186333912502e-06,0.0,0.0,910109.4865324922
56,4.723788013858762,1.2717807025190118,1.7859042303385466,-815973.8382586533,-965415.4320352195,-1012770.1716782805,62425.53098491806,-116056.77664935123,-48287.1668934056,0.0,-1.9910676303855706e-06,2.979845226648908e-07,301239.6844989212
57,4.198922678985566,0.0,1.1906028202256977,-893494.8935374913,-1592315.7136237668,-1363873.2211529685,-304192.2271066156,14756.12324552701,-52213.02701524678,1.1343678014970907e-06,2.2966539783545416e-07,-8.687204429492928e-07,816900.669731378
58,4.198922678985566,1.2717807025190118,1.1906028202256977,144055.02355723444,395432.3616866812,64545.41391784915,-44016.264114935955,-196555.5599142061,8522.351542068405,-4.304825776913553e-07,0.0,0.0,459817.0380964608
59,3.67405734411237,0.0,0.5953014101128489,190142.25951890473,-68816.26136614167,-56592.82648416729,-12162.985690866988,158376.9429197662,77974.36909020317,-2.3619172814216725e-07,0.0,1.4987226535888626e-07,397463.4005738656
60,5.248653348731958,3.8153421075570355,1.7859042303385466,3230689.848770517,4087454.8823234667,4476393.684299936,186571.179534648,-164383.11050260693,68393.86613495967,0.0,0.0,0.0,1190829.0721410601
