node_id,ux,uy,uz
0,3.8416725122386424e-06,-1.6158333096585108e-07,1.4258820860389935e-05
1,3.88125495387916e-06,-1.7588513026835297e-07,1.7402717562718856e-05
2,3.886390110653618e-06,-1.783474214340582e-07,1.7355276301663494e-05
3,3.262454707576036e-06,-1.3032064335894829e-07,1.7353276432503923e-05
4,3.2585056395257593e-06,-1.2805747305677902e-07,1.7400672438761614e-05
5,3.844912800224792e-06,-1.6589832062982672e-07,1.4212628711960181e-05
6,3.2245377608412155e-06,-1.1481363912587616e-07,1.425422500250606e-05
7,3.2648012428848218e-06,-1.3367936632766699e-07,1.730730559011863e-05
8,3.228102383401341e-06,-1.1914344709846053e-07,1.420767235872389e-05
9,2.6446628805513328e-06,-7.908953778345184e-08,1.7352509831363534e-05
10,3.889092621029705e-06,-1.824575171444897e-07,1.7308693689173582e-05
11,3.7141257524895113e-06,-1.2288484490532797e-07,1.1174012992688626e-05
12,2.641748511972986e-06,-7.700293009140686e-08,1.739991209437546e-05
13,3.846173082607739e-06,-1.7156698017836065e-07,1.4165379746765082e-05
14,2.6463457747746233e-06,-8.213490401021169e-08,1.730759065755149e-05
15,3.2297990211179503e-06,-1.24038460121521e-07,1.4160716415254828e-05
16,3.7166674023431843e-06,-1.3155375495689283e-07,1.1134219535516374e-05
17,2.616321152283014e-06,-6.797928787158762e-08,1.4250444930547986e-05
18,2.619207427674144e-06,-7.147425313930715e-08,1.4204068581634553e-05
19,3.1191896882079944e-06,-8.290655864080946e-08,1.1163399884773741e-05
20,3.265735043112501e-06,-1.3855309477916346e-07,1.7260447246716208e-05
21,3.1233270993300226e-06,-9.09924605206541e-08,1.112363925639335e-05
22,2.031485913101885e-06,-2.6065453270607447e-08,1.7353489613054443e-05
23,3.890135991132707e-06,-1.8880679006627068e-07,1.7261081911257548e-05
24,2.6470394025806265e-06,-8.666752792273129e-08,1.72622257163281e-05
25,2.6209071972926545e-06,-7.56575526467863e-08,1.4157334283324029e-05
26,3.494072740032212e-06,-7.88555856042053e-08,8.259374873995944e-06
27,2.02987988641221e-06,-2.425616994156636e-08,1.740035320881474e-05
28,2.0322963694275406e-06,-2.8928489987798504e-08,1.7310600292167315e-05
29,3.845893058602442e-06,-1.784482953712118e-07,1.411714474044006e-05
30,3.2301082979987587e-06,-1.2972707527802934e-07,1.4112734107953334e-05
31,3.7168460380479925e-06,-1.4091141387032132e-07,1.1093398891958005e-05
32,3.1246066855819545e-06,-9.914584452957887e-08,1.108298605927927e-05
33,3.494977935341593e-06,-9.230723110193556e-08,8.228042697053426e-06
34,2.014003237892896e-06,-2.0922926889668127e-08,1.4247458347316599e-05
35,2.015843965560081e-06,-2.344947542177609e-08,1.4201584710461938e-05
36,2.5350491864212204e-06,-4.477458458230712e-08,1.1154439331963364e-05
37,2.538565741422727e-06,-5.093572183799548e-08,1.1115394577255533e-05
38,2.9418421988912264e-06,-4.764102040839446e-08,8.243526476978167e-06
39,3.2654578451314034e-06,-1.446797199900754e-07,1.7209682970187973e-05
40,2.0325805011712765e-06,-3.3730409442500606e-08,1.7268086198229918e-05
41,2.6215810279173853e-06,-8.059109877278524e-08,1.4109512322188604e-05
42,2.9455044311685893e-06,-5.975775631136056e-08,8.212397770846914e-06
43,1.4211624851049292e-06,2.7395633031779946e-08,1.7356307968628834e-05
44,2.0172973772240778e-06,-2.6774688932838374e-08,1.4155416105092942e-05
45,3.889517100665374e-06,-1.9710687118920704e-07,1.7209764060503808e-05
46,2.6469740237735208e-06,-9.260021755422034e-08,1.721261109691887e-05
47,2.5399688600164222e-06,-5.7448760644328656e-08,1.1074881774178813e-05
48,3.1858820501686876e-06,-3.84429431090399e-08,5.617729870121146e-06
49,1.421030405215347e-06,2.8666234952762358e-08,1.740162722656497e-05
50,1.420952182895974e-06,2.5008685973723448e-08,1.7316739375697354e-05
51,3.844285223394434e-06,-1.8620179684587915e-07,1.4067847666689907e-05
52,3.2292474669961713e-06,-1.3602951612406587e-07,1.4063601978438337e-05
53,3.7154724228788627e-06,-1.5085451119866952e-07,1.1051068839432718e-05
54,3.1242249388975806e-06,-1.0749072275724902e-07,1.1040780605677893e-05
55,3.494204045217734e-06,-1.0627890426013686e-07,8.195083298948938e-06
56,2.0325481636493184e-06,-4.0679625280718644e-08,1.722091738287381e-05
57,2.018181211459368e-06,-3.109201282092327e-08,1.4107836174712593e-05
58,2.946160498191626e-06,-7.1713224019618e-08,8.179590929953132e-06
59,3.185801021254781e-06,-5.674435384452844e-08,5.595309131792596e-06
60,1.4148798704615068e-06,2.5716556966456945e-08,1.4244955845703841e-05
61,1.4155693805280792e-06,2.4387110557758706e-08,1.4200131951413777e-05
62,1.9576721856949805e-06,-7.286047816760572e-09,1.1147451093311869e-05
63,1.9599404596324164e-06,-1.1420559667216541e-08,1.1109068907495598e-05
64,2.401079019162871e-06,-1.9225026949596782e-08,8.230471693074646e-06
65,1.420701802521762e-06,1.995814906390874e-08,1.7279258999014565e-05
66,2.404364685010334e-06,-2.829942100308249e-08,8.200324307627036e-06
67,2.695011406316106e-06,-1.6537888677654726e-08,5.597115582754379e-06
68,3.264279351609185e-06,-1.5101423119657403e-07,1.7152114373460187e-05
69,2.621200706841266e-06,-8.617709360138967e-08,1.406055387397928e-05
70,2.540004986433916e-06,-6.408997233450034e-08,1.103271134624206e-05
71,2.6987979527320348e-06,-3.276183307236653e-08,5.575102012850293e-06
72,8.118360763875852e-07,7.926312039381104e-08,1.7360467836348664e-05
73,1.4166837441443065e-06,2.218789408704285e-08,1.4155021110447452e-05
74,1.960913275224848e-06,-1.5991581115989526e-08,1.1068905280649046e-05
75,3.887352923349739e-06,-2.0579916129128556e-07,1.7152391941872825e-05
76,2.646526727456196e-06,-9.843684544194429e-08,1.7154062693601977e-05
77,1.4205853226025785e-06,1.0957606572957201e-08,1.7237200778639023e-05
78,2.018092779939605e-06,-3.625988837255765e-08,1.4059033054246235e-05
79,2.4053419256720097e-06,-3.759451899329249e-08,8.167643739488209e-06
80,2.79099964425106e-06,5.753975988020142e-09,3.339130113401654e-06
81,8.130872699360728e-07,7.970572408846828e-08,1.7403246596481024e-05
82,8.106295752798888e-07,7.829754705032691e-08,1.7325496864516667e-05
83,1.4177604572462577e-06,1.8496266752351764e-08,1.4107980706332594e-05
84,3.841638197314997e-06,-1.9405528972155377e-07,1.401698438356374e-05
85,3.227479225536794e-06,-1.4237613861652752e-07,1.4012702691423448e-05
86,3.7132312116611267e-06,-1.6123376698874074e-07,1.1006971419295602e-05
87,3.1229205754019574e-06,-1.1603036830822352e-07,1.0996732710221853e-05
88,3.491883351732578e-06,-1.2067660099655382e-07,8.15969947877408e-06
89,2.032681393775755e-06,-4.693561004917766e-08,1.715990256550574e-05
90,2.9449035920269605e-06,-8.360301380461509e-08,8.144334115298832e-06
91,3.185947002558264e-06,-7.557897216734966e-08,5.5705120202260395e-06
92,1.9609479731015944e-06,-2.0810560328408516e-08,1.1026809441224093e-05
93,2.700243218722616e-06,-4.872433446476974e-08,5.551055628398009e-06
94,2.795032924151183e-06,-1.7780754475692012e-08,3.3266149706585405e-06
95,8.163420495925348e-07,7.098074088385363e-08,1.4242757034738164e-05
96,8.159126323046304e-07,7.099905237740939e-08,1.419936024144741e-05
97,1.3841808942825818e-06,2.964091857577112e-08,1.1142360058710094e-05
98,1.3850339728610012e-06,2.7666727454095942e-08,1.110469042583643e-05
99,1.8673491295149928e-06,8.247819117037799e-09,8.220621638725471e-06
100,8.097924620559909e-07,7.422167537977003e-08,1.7296467609172573e-05
101,1.8694269260500064e-06,2.2945886362587384e-09,8.191202918247037e-06
102,2.215311382353646e-06,2.647965981401146e-09,5.580068195086792e-06
103,2.2187392963236567e-06,-9.412102480063253e-09,5.559272578950051e-06
104,2.3779936271175e-06,1.9153618113389404e-08,3.312484108884077e-06
105,3.2625088805404935e-06,-1.5674547854474098e-07,1.7089843538508926e-05
106,2.6198562740594173e-06,-9.169495495778814e-08,1.4009640693764793e-05
107,2.5392635104950454e-06,-7.080757665684596e-08,1.0988704043047568e-05
108,1.4213259175349377e-06,3.827752470235651e-09,1.7170588875757585e-05
109,1.417898416735062e-06,1.3296189431157923e-08,1.4059233021672059e-05
110,2.404705438903839e-06,-4.679271523044421e-08,8.132332198092501e-06
111,2.3844255389986037e-06,-1.6978740678796765e-09,3.299916372840704e-06
112,2.016556003988401e-07,1.2670418486456068e-07,1.7365299859149376e-05
113,8.166138086069877e-07,7.062497771982236e-08,1.415590430064538e-05
114,1.3853225184779087e-06,2.518248363481433e-08,1.1065005151546939e-05
115,8.096766329155608e-07,6.215572918627018e-08,1.7265491190970024e-05
116,1.8700276814412288e-06,-3.9194722115773425e-09,8.158825056032673e-06
117,3.884148218684221e-06,-2.1335392025743565e-07,1.7090710639657167e-05
118,2.645761712613822e-06,-1.0336105994233155e-07,1.7090298031445772e-05
119,2.016833856503323e-06,-4.079799129692759e-08,1.4007945836221258e-05
120,1.9604959555068204e-06,-2.5672450438286714e-08,1.0982825481303747e-05
121,2.2199748654153495e-06,-2.1581092769466497e-08,5.535375437819033e-06
122,2.277093241387372e-06,5.134440470884981e-08,1.5180149561587125e-06
123,2.0384966312419434e-07,1.2645405688198012e-07,1.740530141382226e-05
124,2.0003376084859793e-07,1.2739411821483939e-07,1.7334594091016267e-05
125,8.179389912857987e-07,6.813688526815893e-08,1.4110235707062138e-05
126,1.3850941020263091e-06,2.2262875683880507e-08,1.1023048320609247e-05
127,3.8385395675285255e-06,-2.0135336430664357e-07,1.3964350903846196e-05
128,3.2253187425021714e-06,-1.4828727594066106e-07,1.3959884916335995e-05
129,3.7106004818722267e-06,-1.7183768310443564e-07,1.0960803293028663e-05
130,3.1211288105143296e-06,-1.246400414384214e-07,1.0950547840538534e-05
131,3.48837084477693e-06,-1.3524631421286382e-07,8.121691923131066e-06
132,2.032623598823711e-06,-5.143021209196439e-08,1.7093194291402584e-05
133,2.9424309137199464e-06,-9.559615807984463e-08,8.106114941212716e-06
134,3.1850989226328826e-06,-9.45348162317307e-08,5.541725225641418e-06
135,2.699651461647245e-06,-6.385496591433247e-08,5.523997240752765e-06
136,2.816429289268577e-06,-4.135696921807953e-08,3.311644760178263e-06
137,8.111640968363319e-07,5.423160152766405e-08,1.718647213926506e-05
138,1.4164365486741511e-06,9.664867888230729e-09,1.400767102604929e-05
139,1.8695181839503287e-06,-1.0155511432032635e-08,8.123531925788662e-06
140,2.3952202573438993e-06,-2.1791599808571963e-08,3.2841958731479716e-06
141,2.2726274373232315e-06,2.1946106115275147e-08,1.5145640667969493e-06
142,2.159618971326434e-07,1.1411779668214041e-07,1.4241265278576237e-05
143,0.0,1.1525399829537955e-07,1.4199138974829377e-05
144,8.121320722876935e-07,6.588795147594116e-08,1.1139208050942954e-05
145,8.115760093170777e-07,6.611264406785741e-08,1.1102196577723519e-05
146,1.3378884477129481e-06,3.520412963681988e-08,8.213972768242891e-06
147,1.9864849858269212e-07,1.2826519509403806e-07,1.7318718353775443e-05
148,1.3385027449109604e-06,3.242072238162157e-08,8.185107881734073e-06
149,1.7425355062740864e-06,2.072025212225229e-08,5.567076077427234e-06
150,1.744561425530995e-06,1.2791548595206913e-08,5.5471219586231825e-06
151,1.9747792097989655e-06,2.7919923261157248e-08,3.2903781321687588e-06
152,8.182866040814941e-07,6.23564592733906e-08,1.40611153857773e-05
153,1.9791529090719163e-06,1.2070029794609444e-08,3.27908426515385e-06
154,1.964154560257222e-06,5.273749681808246e-08,1.4864917652641754e-06
155,3.260667980315042e-06,-1.615310336816203e-07,1.7025991454212e-05
156,2.6181197334240025e-06,-9.698761809212455e-08,0.0
157,2.5380336437638525e-06,-7.750927585668055e-08,1.094249326752573e-05
158,1.4218273017498314e-06,-1.9431370443402784e-10,1.7098712289808256e-05
159,2.4030135029276893e-06,-5.5911520817431525e-08,8.094011400602327e-06
160,1.3847752398355158e-06,1.935707348471457e-08,1.0979074104737037e-05
161,2.2192257517795763e-06,-3.311239480345503e-08,5.508060772943105e-06
162,1.9656183724010676e-06,2.6940891515956585e-08,1.4835458416677468e-06
163,-4.113867687040225e-07,1.6765062586857176e-07,1.737100093791512e-05
164,2.143483434445772e-07,1.1640839334875616e-07,1.4156633747072893e-05
165,8.111155262590023e-07,6.603983242640574e-08,0.0
166,1.9934717483867296e-07,1.1378848980388985e-07,1.7313339197336697e-05
167,1.338377247094187e-06,2.936702822532016e-08,8.15304187097442e-06
168,1.745029582428007e-06,4.697790899680271e-09,5.5234177256867745e-06
169,3.880794701887588e-06,-2.1911630445893614e-07,1.702750896755389e-05
170,2.644881956758833e-06,-1.0721260453963086e-07,1.702528992911909e-05
171,2.0152619940965173e-06,0.0,1.395431707341265e-05
172,1.959615325404621e-06,-3.043758381474621e-08,1.093653698231973e-05
173,8.120155397695305e-07,5.128651255264092e-08,1.7106607700634364e-05
174,8.164155841513711e-07,6.008094949433556e-08,1.4008622069757925e-05
175,1.8682450211310988e-06,-1.63365277755806e-08,8.085207324812313e-06
176,1.9834526149822702e-06,-3.922764460405506e-09,3.26313454142295e-06
177,1.7026473666533302e-06,8.039921536799586e-08,2.4891554759521034e-07
178,-4.087164699939787e-07,1.6756868996212428e-07,1.7409085085208514e-05
179,-4.125323991702768e-07,1.6688857174808493e-07,1.734292307996475e-05
180,2.1567921355953124e-07,1.1802750112435365e-07,1.4114697230935567e-05
181,8.10508126702694e-07,6.51382909990111e-08,1.1021493919935252e-05
182,2.0107092692561549e-07,1.0572564951688817e-07,1.7206255997775784e-05
183,1.3376737545364217e-06,2.6224752069822476e-08,8.117848563122916e-06
184,3.835677522229417e-06,-2.0772952152626586e-07,1.3910027875602084e-05
185,3.223369648407367e-06,-1.5351677709827083e-07,1.390528050337968e-05
186,3.7078757773140394e-06,-1.8240979558906403e-07,1.0912476730707651e-05
187,3.119160647152348e-06,-1.3317728144397345e-07,1.0902160459976628e-05
188,3.4846712936752697e-06,-1.502077507158754e-07,8.080425004134488e-06
189,2.032475367637748e-06,-5.454041915470381e-08,1.70258779618039e-05
190,2.939748815908446e-06,-1.0769052315518641e-07,8.064884204264483e-06
191,3.1782237677676133e-06,-1.1078930128807426e-07,5.5100714572395605e-06
192,2.6952355743237742e-06,-7.693450617063864e-08,5.49177234214299e-06
193,2.885138923025237e-06,0.0,3.292937049843233e-06
194,1.414828859559811e-06,7.218576565978035e-09,1.3953345728290272e-05
195,0.0,-4.154320695085035e-08,3.263261916416827e-06
196,2.2703419026440896e-06,-8.752635556331093e-09,1.5065208092281605e-06
197,1.384090842761232e-06,1.663843687693039e-08,1.0932681215461157e-05
198,1.7440421243188027e-06,-3.179225608725061e-09,5.495817093523872e-06
199,1.964909279752741e-06,6.770532538393659e-10,1.4757958734464902e-06
200,1.6953445801272345e-06,4.8247413416603994e-08,2.5357976466767564e-07
201,-3.8814220472412686e-07,1.5503225048584626e-07,1.4241492517364443e-05
202,-3.907192286394635e-07,1.5693677930916037e-07,1.4200252425890257e-05
203,2.393830502675256e-07,1.0156706714751393e-07,1.1138321833302019e-05
204,2.3749538993520527e-07,1.0389665249873823e-07,1.110179216054426e-05
205,8.104497941118615e-07,6.180928586702804e-08,8.210584282600854e-06
206,-4.1117119293561505e-07,1.6628004458613505e-07,1.7334159921035758e-05
207,8.095216667231672e-07,6.217992376562228e-08,8.182096696940794e-06
208,1.2742901059318966e-06,3.798101992186919e-08,5.558298685231302e-06
209,1.2746509573223576e-06,3.4162829210713205e-08,5.538912014185318e-06
210,1.5788951526734713e-06,3.481771757251003e-08,3.273910019413176e-06
211,2.1592508459409547e-07,1.1130143213916255e-07,1.4064183908644933e-05
212,1.5810012419563353e-06,2.4061175034227796e-08,3.2636459103827008e-06
