node_id,x,y,z,sigma_xx,sigma_yy,sigma_zz,tau_xy,tau_yz,tau_zx
0,0.9500000000000001,0.0,0.0,252846.44571561852,-13663.893191975963,-62228.322700023935,-2773.9753803303984,-24090.209209043904,35379.06926397612
1,1.0,0.0,0.0,160941.19003955447,6743.399804191376,-27696.063524607845,20916.03943834415,7301.878599899646,30163.674801394303
2,1.0,0.01,0.0,143500.10633145308,-27440.25013128984,-9976.364930957578,13599.328445075462,11149.515466382425,24098.142153975146
3,1.0,0.01,0.01,101433.45296433126,-7348.796758150393,83962.68508847382,17214.06385925743,7580.380307065117,76867.97317361695
4,1.0,0.0,0.01,210709.44346620337,88828.77122771693,178849.3211123607,9701.936962190046,32689.610194577053,69969.2376659981
5,0.9500000000000001,0.01,0.0,274697.8597141536,-42087.776716783264,-67635.53570414947,-17937.68116565416,95873.08592668704,9672.596158055328
6,0.9500000000000001,0.0,0.01,245249.0009160674,-527.2809457220884,-27046.887688132378,-6104.623494687727,-325.87601970981416,109798.42086855123
7,1.0,0.02,0.01,114688.65521505309,-15150.15380023268,116364.88568615026,2240.0922064178853,3602.580114483608,74425.4575643835
8,0.9500000000000001,0.01,0.01,265125.9132363182,-25343.724830042614,-8165.9393402984715,-10789.38591783357,40354.144412181144,110444.63392368252
9,1.0,0.01,0.02,-219666.6905454131,-307563.3890968548,-610460.1664012633,14180.495303929734,22420.26977497471,168006.10756993975
10,1.0,0.02,0.0,150107.58484242045,-58361.606330662966,23219.77366288262,-1473.4098764108735,-96478.7425675855,35738.92916876652
11,0.9,0.0,0.0,841612.6908867774,153516.04056356646,191468.00318171358,-34781.89709378401,-30963.763453250696,10083.270112321325
12,1.0,0.0,0.02,12324.549611186652,-87930.41851460066,-209775.91573889303,5013.039584688846,4944.5564070097125,148377.23409654718
13,0.9500000000000001,0.02,0.0,199526.95571152284,-137983.82653228706,-217725.89646644733,-23853.62286276239,-301356.0961703287,78019.35106465647
14,1.0,0.02,0.02,-266207.16747028317,-368737.60699210485,-712054.2581205352,1593.627133246829,86777.20163276227,160611.7393438344
15,0.9500000000000001,0.02,0.01,308275.69640992134,17156.470148373006,109822.66580888332,-20108.034242694353,-213025.80168453255,141900.72788228389
16,0.9,0.01,0.0,828320.4894734741,108222.67265546582,161451.9744747429,-60781.47207002386,42616.67585389912,-31169.673502271056
17,0.9500000000000001,0.0,0.02,412970.50227146083,224569.10264110222,505270.4795357487,-2787.5404207046854,44879.680633076874,145742.67686788656
18,0.9500000000000001,0.01,0.02,459594.0667481571,230913.74285330073,600135.5644625826,-1663.4591087597294,-6536.015590061691,149698.76061371044
19,0.9,0.0,0.01,505394.0246027625,-59115.84071586427,-251375.2077487883,-6973.941670947734,-53179.79258422709,136238.59133905926
20,1.0,0.03,0.01,-14837.361578958824,-174782.27938363972,-170159.36329816317,-5696.6120428691665,608086.3926466722,2851.9026550039384
21,0.9,0.01,0.01,491203.5821389311,-119397.44297365326,-294620.280434999,-47238.68309075802,42356.83318227886,120304.82162596822
22,1.0,0.01,0.03,616080.0742851155,553116.0925493053,1397201.9752599625,9010.319094481027,211563.18295738366,57735.25565642086
23,1.0,0.03,0.0,440922.28772595164,189413.3768970012,712849.0152919178,-14269.39367792226,580110.0366176214,-96209.48606010852
24,1.0,0.03,0.02,-168487.1860728265,-303814.1280582171,-447122.408070519,-527.8390782418596,527121.9963901072,83880.76824437799
25,0.9500000000000001,0.02,0.02,394361.0436463326,160065.3499171558,439185.28554981045,-14433.538642218478,-89902.14188826276,151923.45858981783
26,0.8500000000000001,0.0,0.0,1089380.182028283,21469.02601577823,-174299.61880399656,-99148.33778488505,48302.52107595763,-56676.46483305263
27,1.0,0.0,0.03,-172647.38841317373,-234780.36676164472,-518141.8246835861,2366.506560723404,-108176.43940503958,250994.18482127413
28,1.0,0.02,0.03,1611673.9652322126,1522837.3801165523,3718461.0940005826,1488.4926244928743,150250.59347495844,-68936.02083984042
29,0.9500000000000001,0.03,0.0,552837.9855723904,192030.4506683317,605282.5120391322,-37110.093201388314,239734.43462926135,-81741.57703996383
30,0.9500000000000001,0.03,0.01,465008.05588515365,149074.189907446,461732.99233997904,-33036.827074544875,555710.1158451872,-10325.548917599499
31,0.9,0.02,0.0,715785.0319518567,-30484.369958551997,-128682.60113425225,-75877.47587189169,436465.5127143934,-14168.323245233381
32,0.9,0.02,0.01,459018.54764212825,-130330.0609290079,-303832.53158635314,-23627.105680765686,52904.23407413481,131063.77236249312
33,0.8500000000000001,0.01,0.0,1162672.273454118,119797.21559294336,222046.74546752358,15323.439933656653,-191226.96735971977,-53057.61017909261
34,0.9500000000000001,0.0,0.03,-141733.81952376268,-263248.1114780034,-618422.9545928786,-2558.653658645783,-179994.60447909118,305575.29047323455
35,0.9500000000000001,0.01,0.03,-1569083.6715199926,-1724305.6453307401,-3959785.3757728166,1859.5400245963997,-216363.34788002254,433823.3172691969
36,0.9,0.0,0.02,198534.78557076142,-230537.07720741574,-645480.4582743683,-12935.36877767947,-10731.38721598749,233709.9844301995
37,0.9,0.01,0.02,323755.0719397744,-128976.34931972389,-274601.1501908212,-24261.03988232756,109755.1162024973,222099.76860445226
38,0.8500000000000001,0.0,0.01,1703357.754890406,844477.3646731834,1824769.7442410511,-61173.83988067514,-64850.971474876016,106603.25067137436
39,1.0,0.04,0.01,-1107073.1075127574,-1274894.9027578828,-2698123.6530419653,-12891.583700363912,-3009212.662021507,697872.6306087358
40,1.0,0.03,0.03,953686.85113433,824871.6351169839,2241335.9800992957,4315.03959374125,-227034.74181790743,99968.49242626561
41,0.9500000000000001,0.03,0.02,-96966.7999928913,-357538.9032478136,-698576.7899047547,-24510.81443657341,359354.7135922798,118318.5464927585
42,0.8500000000000001,0.01,0.01,957483.9118475263,122017.11763256742,336529.3414941135,91245.57259454393,-44778.08586991543,158743.9436877636
43,1.0,0.01,0.04,54276.48595019903,3272.340509357048,80310.4272292231,19121.637959718977,173557.8713926367,138840.9748331211
44,0.9500000000000001,0.02,0.03,-2642815.5875468478,-2784575.3837525984,-6391928.104695936,-705.3023612321423,312652.01933563326,482070.7627229173
45,1.0,0.04,0.0,-306523.7202174088,-583708.6394165289,-1025935.4862015739,-26866.26545279879,-254120.38975310748,135969.1173654427
46,1.0,0.04,0.02,1332308.9109503827,1207996.0579764585,3037631.946838511,-9469.17299139167,-4822621.614159775,776901.9391371593
47,0.9,0.02,0.02,471471.60572997975,58768.31199879747,182228.8822550351,5855.232711825359,-49167.90153321333,232098.9444353035
48,0.8,0.0,0.0,963187.8918618236,-405338.87355123187,-1120334.903376535,109521.5582545647,88738.91589701024,-118643.99873138277
49,1.0,0.0,0.04,763353.4344981656,672066.5258491919,1543461.4397435824,-29665.704525876932,1145434.3839872258,-250444.83235859658
50,1.0,0.02,0.04,-3981726.1348821516,-4029025.053557393,-9212797.80747724,9406.269190744268,-485231.83253303624,975536.8066868428
51,0.9500000000000001,0.04,0.0,2368287.306404539,1991268.6937930472,4830498.789000517,-47270.81954497034,1239570.7586186023,-210739.5043407588
52,0.9500000000000001,0.04,0.01,-674352.1314426521,-1011772.6942336869,-2228840.1985561238,-37103.34576334504,2459664.8360584173,185762.90485854913
53,0.9,0.03,0.0,-57284.41156096358,-768714.9103400239,-1796970.945140427,-46545.23411053246,-2579861.7730557118,44407.60639074493
54,0.9,0.03,0.01,1349011.4892394387,780427.4340376246,1798205.2750338812,-34595.65233054134,-1949211.0523988295,175902.70524277462
55,0.8500000000000001,0.02,0.0,1147008.1517037423,48588.045601246784,-61596.87807738901,-86466.96480192406,1234167.4558663464,-65573.3456781281
56,1.0,0.04,0.03,19766.21304087515,-85814.24497997636,40988.61554033109,-6022.732193730833,-311794.79930508265,209772.7724254972
57,0.9500000000000001,0.03,0.03,-51369.08034077659,-231240.06015046866,-346876.99308357027,-15842.853544501511,335358.9888034673,198950.02330081424
58,0.8500000000000001,0.02,0.01,999410.2121022905,-43883.631199626034,-368344.2501577678,-342271.1343652238,209130.47554651563,67732.9205897258
59,0.8,0.01,0.0,2014979.354183105,396456.54206422233,506011.6622455967,-577988.5950410275,-146918.67089535878,-256837.46019836338
60,0.9500000000000001,0.0,0.04,-618883.8770067465,-681399.4317846955,-1602083.6302382576,-7248.992195011629,-2273661.0473000873,746087.2846605432
61,0.9500000000000001,0.01,0.04,2697760.3958361605,2615907.658171114,6155572.307732308,-6987.408656921777,1630893.9840292418,-427351.2821174732
62,0.9,0.0,0.03,1870438.4902768587,1596809.6623713966,3650988.078347059,36359.395015195536,982256.2973949977,-5287.815143865557
63,0.9,0.01,0.03,5485383.572060752,5131176.657551007,11954929.498428265,-25771.54242373817,-142741.4785590401,-169397.93469436333
64,0.8500000000000001,0.0,0.02,-2796205.537933678,-3438002.6354730446,-8157681.11575058,-27575.563806384787,-557716.1385304111,288653.87034399004
65,1.0,0.03,0.04,-3518215.5891296854,-3624860.8873080118,-8040583.9664592,-907.9408601654111,459302.75346209336,725337.8015475419
66,0.8500000000000001,0.01,0.02,-1963301.7359617366,-2676789.0264176466,-6276965.565001723,17552.416046332255,414007.80929276114,65468.876054446526
67,0.8,0.0,0.01,2660676.066731495,1540115.267567697,3444195.589596313,50903.20335651893,-14521.308166644008,83557.46146188352
68,1.0,0.05,0.01,6554553.39130825,6393984.16055176,15169424.208933081,-24671.68284325984,4039232.907681391,-1648864.371124082
69,0.9500000000000001,0.04,0.02,-1517305.237313438,-1774887.861133508,-3930669.810201402,-16035.412237093562,3097071.695218068,100069.8944209239
70,0.9,0.03,0.02,729088.0439126588,283525.0736152985,617771.2357132228,-39998.050296550704,-182098.8694274215,168600.66348148484
71,0.8,0.01,0.01,1660305.51022023,380009.27307302254,771521.7020961408,-475411.37643191026,-17948.740515332294,199172.11768421074
72,1.0,0.01,0.05,-1353693.6333394065,-1183016.5353422663,-2548140.2377198758,29034.967883383386,-2212046.5875169933,1348440.0881845905
73,0.9500000000000001,0.02,0.04,15221757.967762254,15076443.774572833,35194297.29149019,10871.280816994977,-42400.70266123134,-1857195.3244463243
74,0.9,0.02,0.03,5996677.367053936,5562315.703291739,12858621.163134903,-19211.204433349823,-1052892.0027919281,-348345.0497153331
75,1.0,0.05,0.0,-12816874.184752103,-13086913.827821756,-30231349.557100642,-39737.58023288188,-1936974.010407436,1762900.1408080577
76,1.0,0.05,0.02,160280.2423675331,-1310.590884148649,322775.2170020161,-9659.680979646444,24131745.542996753,-4680338.474000048
77,1.0,0.04,0.04,-683946.5437043726,-813175.1549893214,-1435252.3481606091,3855.8657634868528,818811.2284834353,140461.5296201451
78,0.9500000000000001,0.04,0.03,2909476.8435042966,2726122.9595614155,6609372.888113046,-6042.160448529505,-2707141.013468783,315858.5070166235
79,0.8500000000000001,0.02,0.02,811099.6265993557,-18796.821201299677,-231951.1457692144,-245860.05753487028,-86139.0099806642,-4871.299377360139
80,0.75,0.0,0.0,1529660.4155739036,-259556.10928598823,-855582.1572579456,-119898.3245687503,13537.001795636288,-45331.362313680176
81,1.0,0.0,0.05,-262132.95005188705,-125473.5213144678,-131669.62526932237,156419.33100716645,2987921.2705071177,-199244.40761157757
82,1.0,0.02,0.05,3748741.614099927,3768912.815722316,8932376.137519127,-64839.384353428184,2545682.9150103955,-1150265.7593509532
83,0.9500000000000001,0.03,0.04,5421649.639289574,5240520.777569934,12433536.060282646,-1785.8739682125993,-1431621.7207271976,-221455.12249660262
84,0.9500000000000001,0.05,0.0,8961502.288444716,8590098.512096401,20213157.50919752,-48524.7194143003,-832175.3372411982,46943.96316168098
85,0.9500000000000001,0.05,0.01,-23360174.43447537,-23684519.04252037,-55166386.46110371,-34644.638531612916,-14337712.539566,2360736.6658476572
86,0.9,0.04,0.0,6766865.81007004,6060304.639887154,14147366.767006058,-64116.01886802478,4072512.2460483243,80070.74309495816
87,0.9,0.04,0.01,622625.0265819534,39282.65215608643,155696.01860906227,-73626.3321840956,12051081.5844318,228451.10323190343
88,0.8500000000000001,0.03,0.0,329954.8946695069,-1115119.2601764025,-2928656.5621814653,-187406.3744676106,-3345516.133147741,-737525.9667822667
89,1.0,0.05,0.03,-5988585.268582079,-6270857.87592341,-13864483.402122093,3702.5667432869172,8274523.930362407,-699058.7338537113
90,0.8500000000000001,0.03,0.01,1148172.5747698187,453302.07166539814,1296230.2085512544,190111.2613072868,-1309019.304782937,63163.50728953795
91,0.8,0.02,0.0,789601.5854377814,-152337.01166250368,581532.6098596904,721225.0054935237,532495.6258215222,580658.1250536344
92,0.9,0.03,0.03,-3100635.157873211,-3486472.566828418,-8178282.786040423,1888.5035779231623,791767.5297263449,285544.22908420296
93,0.8,0.02,0.01,-1172329.8676720418,-1439996.2894533158,-2354217.5137967872,2210074.033146851,6933.738465507191,291628.3902154523
94,0.75,0.01,0.0,1217530.3213464874,-348075.6968398797,-552330.6571156173,1512746.037127899,-1125.9703343091985,-231046.1264693739
95,0.9500000000000001,0.0,0.05,1353744.0377405337,1228104.6382080342,2723641.0541744423,-412052.62567721616,-3406073.9239421273,170395.48642580956
