node_id,x,y,z
0,0.9500000000000001,0.0,0.0
1,1.0,0.0,0.0
2,1.0,0.01,0.0
3,1.0,0.01,0.01
4,1.0,0.0,0.01
5,0.9500000000000001,0.01,0.0
6,0.9500000000000001,0.0,0.01
7,1.0,0.02,0.01
8,0.9500000000000001,0.01,0.01
9,1.0,0.01,0.02
10,1.0,0.02,0.0
11,0.9,0.0,0.0
12,1.0,0.0,0.02
13,0.9500000000000001,0.02,0.0
14,1.0,0.02,0.02
15,0.9500000000000001,0.02,0.01
16,0.9,0.01,0.0
17,0.9500000000000001,0.0,0.02
18,0.9500000000000001,0.01,0.02
19,0.9,0.0,0.01
20,1.0,0.03,0.01
21,0.9,0.01,0.01
22,1.0,0.01,0.03
23,1.0,0.03,0.0
24,1.0,0.03,0.02
25,0.9500000000000001,0.02,0.02
26,0.8500000000000001,0.0,0.0
27,1.0,0.0,0.03
28,1.0,0.02,0.03
29,0.9500000000000001,0.03,0.0
30,0.9500000000000001,0.03,0.01
31,0.9,0.02,0.0
32,0.9,0.02,0.01
33,0.8500000000000001,0.01,0.0
34,0.9500000000000001,0.0,0.03
35,0.9500000000000001,0.01,0.03
36,0.9,0.0,0.02
37,0.9,0.01,0.02
38,0.8500000000000001,0.0,0.01
39,1.0,0.04,0.01
40,1.0,0.03,0.03
41,0.9500000000000001,0.03,0.02
42,0.8500000000000001,0.01,0.01
43,1.0,0.01,0.04
44,0.9500000000000001,0.02,0.03
45,1.0,0.04,0.0
46,1.0,0.04,0.02
47,0.9,0.02,0.02
48,0.8,0.0,0.0
49,1.0,0.0,0.04
50,1.0,0.02,0.04
51,0.9500000000000001,0.04,0.0
52,0.9500000000000001,0.04,0.01
53,0.9,0.03,0.0
54,0.9,0.03,0.01
55,0.8500000000000001,0.02,0.0
56,1.0,0.04,0.03
57,0.9500000000000001,0.03,0.03
58,0.8500000000000001,0.02,0.01
59,0.8,0.01,0.0
60,0.9500000000000001,0.0,0.04
61,0.9500000000000001,0.01,0.04
62,0.9,0.0,0.03
63,0.9,0.01,0.03
64,0.8500000000000001,0.0,0.02
65,1.0,0.03,0.04
66,0.8500000000000001,0.01,0.02
67,0.8,0.0,0.01
68,1.0,0.05,0.01
69,0.9500000000000001,0.04,0.02
70,0.9,0.03,0.02
71,0.8,0.01,0.01
72,1.0,0.01,0.05
73,0.9500000000000001,0.02,0.04
74,0.9,0.02,0.03
75,1.0,0.05,0.0
76,1.0,0.05,0.02
77,1.0,0.04,0.04
78,0.9500000000000001,0.04,0.03
79,0.8500000000000001,0.02,0.02
80,0.75,0.0,0.0
81,1.0,0.0,0.05
82,1.0,0.02,0.05
83,0.9500000000000001,0.03,0.04
84,0.9500000000000001,0.05,0.0
85,0.9500000000000001,0.05,0.01
86,0.9,0.04,0.0
87,0.9,0.04,0.01
88,0.8500000000000001,0.03,0.0
89,1.0,0.05,0.03
90,0.8500000000000001,0.03,0.01
91,0.8,0.02,0.0
92,0.9,0.03,0.03
93,0.8,0.02,0.01
